          Generation           Avg. Path        Avg. Fitness
                 199             507.844          0.00197386
                 200             509.125          0.00196894
                 201             511.847          0.00195868
                 202             512.588          0.00195591
                 203             510.353          0.00196405
                 204             509.689          0.00196731
                 205             510.173          0.00196522
                 206             509.728          0.00196651
                 207             508.362           0.0019716
                 208             510.053           0.0019648
                 209             509.299          0.00196803
                 210             509.292          0.00196855
                 211             509.685          0.00196656
                 212             509.693          0.00196645
                 213             513.121          0.00195329
                 214              514.02          0.00194982
                 215             514.687           0.0019474
                 216             514.934          0.00194565
                 217              512.35          0.00195668
                 218             511.687          0.00195918
                 219             512.769          0.00195486
                 220             515.095          0.00194567
                 221             515.387           0.0019447
                 222             513.255          0.00195334
                 223             513.558          0.00195279
                 224             512.267          0.00195732
                 225             512.978          0.00195427
                 226              515.29          0.00194445
                 227             516.509          0.00194006
                 228              514.37          0.00194808
                 229             513.932          0.00195033
                 230             512.352          0.00195669
                 231             513.204          0.00195321
                 232             513.037          0.00195387
                 233             512.596          0.00195575
                 234             510.842          0.00196267
                 235             512.096           0.0019571
                 236             511.968          0.00195769
                 237              510.58          0.00196253
                 238              509.84          0.00196592
                 239             511.215          0.00196096
                 240             509.493           0.0019672
                 241             507.951          0.00197358
                 242             509.873          0.00196606
                 243             510.856           0.0019613
                 244             512.987          0.00195343
                 245             511.893          0.00195841
                 246             510.721          0.00196243
                 247              509.15          0.00196886
                 248             510.419          0.00196378
                 249             507.301          0.00197597
                 250             507.588          0.00197476
                 251             508.659          0.00197004
                 252             507.114          0.00197707
                 253             507.694          0.00197589
                 254              510.04          0.00196547
                 255              509.05          0.00196888
                 256             509.599           0.0019666
                 257             508.894          0.00196963
                 258              509.03          0.00196901
                 259             508.751          0.00197087
                 260             508.357          0.00197255
                 261             507.693          0.00197542
                 262             507.241          0.00197677
                 263             508.396          0.00197209
                 264             508.724          0.00197001
                 265             508.372          0.00197191
                 266             510.071          0.00196477
                 267             508.742          0.00196983
                 268             507.052          0.00197743
                 269             506.401          0.00197912
                 270             506.392          0.00197967
                 271             508.879          0.00196981
                 272             508.855          0.00196981
                 273             506.678          0.00197834
                 274             504.451          0.00198833
                 275             504.151          0.00198843
                 276              505.45          0.00198402
                 277             505.168          0.00198427
                 278             505.336          0.00198342
                 279             506.416          0.00197904
                 280             504.593          0.00198674
                 281              506.06           0.0019803
                 282             506.597          0.00197825
                 283             508.108          0.00197252
                 284             509.947          0.00196514
                 285             508.176          0.00197238
                 286             507.465           0.0019753
                 287             509.809          0.00196563
                 288             508.331          0.00197241
                 289             506.789          0.00197762
                 290             505.236           0.0019845
                 291             504.713          0.00198679
                 292             505.376          0.00198329
                 293             505.907          0.00198128
                 294             504.851          0.00198571
                 295             501.474          0.00199975
                 296             502.948          0.00199343
                 297             502.923          0.00199298
                 298               504.1          0.00198808
                 299             503.935          0.00198958
                 300              503.85          0.00199009
                 301             503.886           0.0019894
                 302             505.684           0.0019818
                 303             505.578          0.00198253
                 304             506.051          0.00198081
                 305             507.668          0.00197422
                 306              506.05          0.00198097
                 307             508.417          0.00197135
                 308              508.01          0.00197292
                 309             508.608           0.0019708
                 310             508.965          0.00196958
                 311             506.246          0.00198054
                 312             508.342          0.00197261
                 313             506.498          0.00197959
                 314              509.06          0.00196912
                 315              509.49          0.00196723
                 316             507.854          0.00197412
                 317             508.996          0.00196977
                 318             510.285          0.00196378
                 319             510.605          0.00196331
                 320             510.006          0.00196645
                 321             508.596          0.00197058
                 322             509.162          0.00196865
                 323             507.465          0.00197527
                 324             509.046          0.00196942
                 325             508.099          0.00197406
                 326             508.159            0.001973
                 327             508.687          0.00197002
                 328             506.992          0.00197673
                 329             507.771          0.00197389
                 330             506.277          0.00197964
                 331             504.885          0.00198627
                 332              506.79          0.00197892
                 333             509.547          0.00196765
                 334             511.131          0.00196148
                 335             510.932          0.00196152
                 336             512.094          0.00195692
                 337              509.35          0.00196731
                 338             507.964           0.0019727
                 339             508.043          0.00197267
                 340             506.205          0.00198068
                 341             507.822           0.0019745
                 342             509.012          0.00196976
                 343             509.335           0.0019685
                 344             509.372          0.00196767
                 345             509.004          0.00196858
                 346             511.676          0.00195878
                 347             512.177           0.0019564
                 348             510.967          0.00196226
                 349             510.204          0.00196494
                 350              510.34          0.00196388
                 351             509.318          0.00196873
                 352             509.726          0.00196746
                 353               508.8           0.0019711
                 354             512.192           0.0019571
                 355             511.154          0.00196183
                 356             511.022           0.0019624
                 357             512.731          0.00195561
                 358             512.976          0.00195414
                 359             511.758          0.00195883
                 360             512.109          0.00195753
                 361             513.239          0.00195285
                 362             512.107          0.00195708
                 363             509.679          0.00196621
                 364             509.144            0.001969
                 365             508.449          0.00197174
                 366             507.997          0.00197312
                 367             509.587          0.00196695
                 368             510.845           0.0019619
                 369             512.616          0.00195501
                 370             510.825          0.00196163
                 371             512.321          0.00195667
                 372             511.104          0.00196133
                 373             512.389          0.00195592
                 374             508.892          0.00196955
                 375             510.478          0.00196326
                 376             513.161          0.00195348
                 377             511.984           0.0019576
                 378             511.128            0.001961
                 379             511.571          0.00195914
                 380             508.242          0.00197198
                 381             507.649          0.00197448
                 382             510.362           0.0019637
                 383             510.071          0.00196501
                 384             508.433          0.00197187
                 385             509.435          0.00196696
                 386             509.116          0.00196878
                 387             508.159          0.00197258
                 388             508.802          0.00197091
                 389             509.532          0.00196779
                 390             509.805          0.00196639
                 391              507.25          0.00197665
                 392             507.695          0.00197493
                 393             509.876          0.00196604
                 394              509.39          0.00196754
                 395             506.871          0.00197849
                 396             508.865           0.0019702
                 397             508.397          0.00197166
                 398             507.463          0.00197537
                 399             509.478          0.00196656
                 400             509.177          0.00196836
