                  mu               sigma              energy
                0.95                0.95            0.322064
                0.95            0.966667            0.342517
                0.95            0.983333             0.41071
            0.966667                 0.5           -0.183032
            0.966667            0.516667           -0.231172
            0.966667            0.533333           -0.254801
            0.966667                0.55           -0.290916
            0.966667            0.566667           -0.324232
            0.966667            0.583333           -0.326643
            0.966667                 0.6           -0.324482
            0.966667            0.616667           -0.327142
            0.966667            0.633333           -0.315133
            0.966667                0.65           -0.299476
            0.966667            0.666667           -0.301219
            0.966667            0.683333           -0.270791
            0.966667                 0.7            -0.25758
            0.966667            0.716667           -0.231473
            0.966667            0.733333           -0.191591
            0.966667                0.75           -0.161769
            0.966667            0.766667           -0.134483
            0.966667            0.783333           -0.127002
            0.966667                 0.8         -0.00688677
            0.966667            0.816667          -0.0291869
            0.966667            0.833333           0.0319972
            0.966667                0.85            0.106633
            0.966667            0.866667            0.120687
            0.966667            0.883333             0.18368
            0.966667                 0.9            0.254092
            0.966667            0.916667            0.277914
            0.966667            0.933333            0.339937
            0.966667                0.95            0.394311
            0.966667            0.966667            0.428039
            0.966667            0.983333            0.548482
            0.983333                 0.5           -0.156502
            0.983333            0.516667           -0.209936
            0.983333            0.533333           -0.254929
            0.983333                0.55           -0.268285
            0.983333            0.566667           -0.294022
            0.983333            0.583333           -0.303992
            0.983333                 0.6           -0.315395
            0.983333            0.616667           -0.315181
            0.983333            0.633333           -0.285506
            0.983333                0.65           -0.285461
            0.983333            0.666667           -0.254723
            0.983333            0.683333           -0.248052
            0.983333                 0.7           -0.212008
            0.983333            0.716667           -0.192877
            0.983333            0.733333           -0.190857
            0.983333                0.75           -0.113099
            0.983333            0.766667           -0.066648
            0.983333            0.783333          -0.0514413
            0.983333                 0.8          0.00294117
            0.983333            0.816667           0.0648309
            0.983333            0.833333            0.020276
            0.983333                0.85            0.140448
            0.983333            0.866667            0.195244
            0.983333            0.883333            0.185439
            0.983333                 0.9            0.318361
            0.983333            0.916667            0.363679
            0.983333            0.933333            0.432078
            0.983333                0.95            0.464559
            0.983333            0.966667            0.512328
            0.983333            0.983333            0.575475
