                  mu               sigma              energy
                 0.6            0.683333           -0.319616
                 0.6                 0.7           -0.332983
                 0.6            0.716667            -0.32332
                 0.6            0.733333           -0.329628
                 0.6                0.75           -0.326268
                 0.6            0.766667           -0.316873
                 0.6            0.783333           -0.305925
                 0.6                 0.8           -0.325639
                 0.6            0.816667           -0.296553
                 0.6            0.833333           -0.300013
                 0.6                0.85           -0.307414
                 0.6            0.866667           -0.298611
                 0.6            0.883333           -0.282539
                 0.6                 0.9           -0.245378
                 0.6            0.916667           -0.233386
                 0.6            0.933333           -0.226316
                 0.6                0.95           -0.246205
                 0.6            0.966667           -0.198949
                 0.6            0.983333           -0.137054
            0.616667                 0.5           -0.227072
            0.616667            0.516667           -0.264009
            0.616667            0.533333           -0.278781
            0.616667                0.55           -0.299685
            0.616667            0.566667           -0.300565
            0.616667            0.583333           -0.331626
            0.616667                 0.6           -0.330093
            0.616667            0.616667           -0.334556
            0.616667            0.633333           -0.334192
            0.616667                0.65           -0.333353
            0.616667            0.666667           -0.344117
            0.616667            0.683333           -0.340182
            0.616667                 0.7           -0.354799
            0.616667            0.716667            -0.32792
            0.616667            0.733333           -0.332041
            0.616667                0.75           -0.318567
            0.616667            0.766667             -0.3415
            0.616667            0.783333           -0.309308
            0.616667                 0.8           -0.309134
            0.616667            0.816667           -0.302931
            0.616667            0.833333           -0.311924
            0.616667                0.85            -0.30959
            0.616667            0.866667           -0.255843
            0.616667            0.883333           -0.254225
            0.616667                 0.9           -0.239805
            0.616667            0.916667           -0.218877
            0.616667            0.933333           -0.180481
            0.616667                0.95           -0.192242
            0.616667            0.966667           -0.197403
            0.616667            0.983333           -0.169962
            0.633333                 0.5           -0.257838
            0.633333            0.516667           -0.287527
            0.633333            0.533333           -0.298578
            0.633333                0.55           -0.314441
            0.633333            0.566667           -0.331254
            0.633333            0.583333           -0.342279
            0.633333                 0.6           -0.345305
            0.633333            0.616667           -0.352644
            0.633333            0.633333            -0.35841
            0.633333                0.65            -0.35787
            0.633333            0.666667           -0.349133
            0.633333            0.683333           -0.360916
            0.633333                 0.7           -0.354134
            0.633333            0.716667           -0.350614
            0.633333            0.733333           -0.352914
            0.633333                0.75           -0.340924
            0.633333            0.766667           -0.340893
            0.633333            0.783333           -0.323904
            0.633333                 0.8           -0.315076
            0.633333            0.816667           -0.298278
            0.633333            0.833333            -0.30027
            0.633333                0.85           -0.271555
            0.633333            0.866667           -0.266378
            0.633333            0.883333           -0.243704
            0.633333                 0.9           -0.238624
            0.633333            0.916667           -0.219909
            0.633333            0.933333           -0.207816
            0.633333                0.95           -0.168667
            0.633333            0.966667           -0.118192
            0.633333            0.983333           -0.111301
                0.65                 0.5           -0.268713
                0.65            0.516667           -0.308325
                0.65            0.533333           -0.332213
                0.65                0.55           -0.325085
                0.65            0.566667           -0.347937
                0.65            0.583333           -0.356547
                0.65                 0.6           -0.364077
                0.65            0.616667           -0.371024
                0.65            0.633333           -0.372041
                0.65                0.65           -0.373162
                0.65            0.666667           -0.375788
                0.65            0.683333           -0.368111
                0.65                 0.7           -0.358001
                0.65            0.716667           -0.359447
                0.65            0.733333           -0.357842
                0.65                0.75           -0.358024
                0.65            0.766667           -0.338012
                0.65            0.783333            -0.33804
                0.65                 0.8           -0.306117
                0.65            0.816667           -0.299837
                0.65            0.833333           -0.308283
                0.65                0.85           -0.268237
                0.65            0.866667             -0.2693
                0.65            0.883333           -0.266087
                0.65                 0.9            -0.24937
                0.65            0.916667           -0.194872
                0.65            0.933333           -0.212498
                0.65                0.95           -0.127219
                0.65            0.966667            -0.15741
                0.65            0.983333           -0.112672
            0.666667                 0.5           -0.265844
            0.666667            0.516667           -0.309412
            0.666667            0.533333           -0.338366
            0.666667                0.55           -0.342512
            0.666667            0.566667           -0.366436
            0.666667            0.583333           -0.378159
            0.666667                 0.6           -0.383728
            0.666667            0.616667           -0.381045
            0.666667            0.633333           -0.386196
            0.666667                0.65           -0.391044
            0.666667            0.666667           -0.380887
            0.666667            0.683333           -0.374829
            0.666667                 0.7           -0.374377
            0.666667            0.716667            -0.36246
            0.666667            0.733333           -0.371608
            0.666667                0.75           -0.343217
            0.666667            0.766667           -0.333251
            0.666667            0.783333           -0.338739
            0.666667                 0.8           -0.309396
            0.666667            0.816667           -0.308578
            0.666667            0.833333           -0.293948
            0.666667                0.85            -0.28483
            0.666667            0.866667           -0.254047
            0.666667            0.883333           -0.238663
            0.666667                 0.9           -0.223281
            0.666667            0.916667           -0.213717
            0.666667            0.933333           -0.193959
            0.666667                0.95           -0.196544
            0.666667            0.966667           -0.164234
            0.666667            0.983333          -0.0856586
            0.683333                 0.5           -0.289462
            0.683333            0.516667            -0.31191
            0.683333            0.533333             -0.3295
            0.683333                0.55           -0.359755
            0.683333            0.566667           -0.384961
            0.683333            0.583333           -0.387149
            0.683333                 0.6           -0.394453
            0.683333            0.616667           -0.398103
            0.683333            0.633333            -0.39709
            0.683333                0.65           -0.394023
            0.683333            0.666667           -0.391758
            0.683333            0.683333           -0.381889
            0.683333                 0.7           -0.383513
            0.683333            0.716667           -0.362629
            0.683333            0.733333           -0.362678
            0.683333                0.75           -0.368201
            0.683333            0.766667            -0.34571
            0.683333            0.783333           -0.340251
            0.683333                 0.8           -0.310941
            0.683333            0.816667           -0.309375
            0.683333            0.833333           -0.317518
            0.683333                0.85           -0.271895
            0.683333            0.866667           -0.261196
            0.683333            0.883333           -0.221294
            0.683333                 0.9           -0.235952
            0.683333            0.916667           -0.183147
            0.683333            0.933333           -0.206086
            0.683333                0.95           -0.144551
            0.683333            0.966667             -0.1196
            0.683333            0.983333           -0.118826
                 0.7                 0.5           -0.287873
                 0.7            0.516667           -0.326642
                 0.7            0.533333           -0.344078
                 0.7                0.55           -0.374299
                 0.7            0.566667           -0.393131
                 0.7            0.583333           -0.402955
                 0.7                 0.6           -0.404823
                 0.7            0.616667           -0.401902
                 0.7            0.633333           -0.406207
                 0.7                0.65           -0.402719
                 0.7            0.666667           -0.401847
                 0.7            0.683333           -0.384229
                 0.7                 0.7           -0.385338
                 0.7            0.716667            -0.37595
                 0.7            0.733333           -0.375713
                 0.7                0.75           -0.372169
                 0.7            0.766667           -0.344268
                 0.7            0.783333           -0.338495
                 0.7                 0.8           -0.329951
                 0.7            0.816667           -0.318967
                 0.7            0.833333           -0.304221
                 0.7                0.85           -0.288022
                 0.7            0.866667           -0.235054
                 0.7            0.883333           -0.244543
                 0.7                 0.9           -0.194058
                 0.7            0.916667           -0.169178
                 0.7            0.933333           -0.127294
                 0.7                0.95           -0.146454
                 0.7            0.966667           -0.128142
                 0.7            0.983333          -0.0432927
            0.716667                 0.5           -0.304068
            0.716667            0.516667           -0.335554
            0.716667            0.533333           -0.363555
            0.716667                0.55           -0.383622
            0.716667            0.566667           -0.395746
            0.716667            0.583333           -0.417758
            0.716667                 0.6           -0.414597
            0.716667            0.616667            -0.41348
            0.716667            0.633333           -0.415535
            0.716667                0.65           -0.414703
            0.716667            0.666667           -0.414098
            0.716667            0.683333           -0.407449
            0.716667                 0.7           -0.390495
            0.716667            0.716667           -0.392603
            0.716667            0.733333           -0.372516
            0.716667                0.75           -0.357779
            0.716667            0.766667           -0.336407
            0.716667            0.783333           -0.322346
            0.716667                 0.8           -0.326621
            0.716667            0.816667           -0.330024
            0.716667            0.833333            -0.25323
            0.716667                0.85           -0.262115
            0.716667            0.866667           -0.248055
            0.716667            0.883333           -0.232913
            0.716667                 0.9            -0.17443
            0.716667            0.916667           -0.172482
            0.716667            0.933333           -0.142091
            0.716667                0.95           -0.143194
            0.716667            0.966667          -0.0545758
            0.716667            0.983333          -0.0492549
            0.733333                 0.5           -0.307221
            0.733333            0.516667           -0.338623
            0.733333            0.533333           -0.366539
            0.733333                0.55           -0.382024
            0.733333            0.566667            -0.40268
            0.733333            0.583333           -0.414135
            0.733333                 0.6           -0.425996
            0.733333            0.616667           -0.427804
            0.733333            0.633333           -0.420646
            0.733333                0.65           -0.429428
            0.733333            0.666667           -0.418992
            0.733333            0.683333           -0.416553
            0.733333                 0.7           -0.399951
            0.733333            0.716667           -0.384916
            0.733333            0.733333           -0.379473
            0.733333                0.75           -0.371152
            0.733333            0.766667           -0.353444
            0.733333            0.783333             -0.3243
            0.733333                 0.8           -0.313809
            0.733333            0.816667            -0.29235
            0.733333            0.833333           -0.281365
            0.733333                0.85           -0.256988
            0.733333            0.866667           -0.202715
            0.733333            0.883333           -0.162294
            0.733333                 0.9           -0.197191
            0.733333            0.916667              -0.161
            0.733333            0.933333           -0.135445
            0.733333                0.95          -0.0970141
            0.733333            0.966667          -0.0121581
            0.733333            0.983333          -0.0378192
                0.75                 0.5           -0.302377
                0.75            0.516667           -0.336257
                0.75            0.533333           -0.370941
                0.75                0.55            -0.39315
                0.75            0.566667           -0.417782
                0.75            0.583333            -0.42458
                0.75                 0.6           -0.427238
                0.75            0.616667           -0.432137
