step, sum_prog, err_prog
0, 6.92722e-310, 0
0, 6.92722e-310, 0
0, 4.61815e-310, 0
0, 3.46361e-310, 0
0, 2.77089e-310, 0
0, 2.30907e-310, 0
0, 1.97921e-310, 0
0, 1.73181e-310, 0
0, 1.53938e-310, 0
0, 1.38544e-310, 0
0, 1.2595e-310, 0
0, 1.15454e-310, 0
0, 1.06573e-310, 0
0, 9.89603e-311, 0
0, 9.2363e-311, 0
0, 8.65903e-311, 0
0, 8.14967e-311, 0
0, 7.69691e-311, 0
0, 7.29181e-311, 0
0, 6.92722e-311, 0
0, 6.59736e-311, 0
0, 6.29748e-311, 0
0, 6.02367e-311, 0
0, 5.77269e-311, 0
0, 5.54178e-311, 0
0, 5.32863e-311, 0
0, 5.13128e-311, 0
0, 4.94802e-311, 0
0, 4.7774e-311, 0
0, 4.61815e-311, 0
0, 4.46918e-311, 0
0, 4.32951e-311, 0
0, 4.19832e-311, 0
0, 4.07484e-311, 0
0, 3.95841e-311, 0
0, 3.84846e-311, 0
0, 3.74444e-311, 0
0, 3.64591e-311, 0
0, 3.55242e-311, 0
0, 3.46361e-311, 0
0, 3.37913e-311, 0
0, 3.29868e-311, 0
0, 3.22196e-311, 0
0, 3.14874e-311, 0
0, 3.07877e-311, 0
0, 3.01184e-311, 0
0, 2.94775e-311, 0
0, 2.88634e-311, 0
0, 2.82744e-311, 0
0, 2.77089e-311, 0
0, 2.71656e-311, 0
0, 2.66432e-311, 0
0, 2.61405e-311, 0
0, 2.56564e-311, 0
0, 2.51899e-311, 0
0, 2.47401e-311, 0
0, 2.4306e-311, 0
0, 2.3887e-311, 0
0, 2.34821e-311, 0
0, 2.30907e-311, 0
0, 2.27122e-311, 0
0, 2.23459e-311, 0
0, 2.19912e-311, 0
0, 2.16476e-311, 0
0, 2.13145e-311, 0
0, 2.09916e-311, 0
0, 2.06783e-311, 0
0, 2.03742e-311, 0
0, 2.00789e-311, 0
0, 1.97921e-311, 0
0, 1.95133e-311, 0
0, 1.92423e-311, 0
0, 1.89787e-311, 0
0, 1.87222e-311, 0
0, 1.84726e-311, 0
0, 1.82295e-311, 0
0, 1.79928e-311, 0
0, 1.77621e-311, 0
0, 1.75373e-311, 0
0, 1.73181e-311, 0
0, 1.71043e-311, 0
0, 1.68957e-311, 0
0, 1.66921e-311, 0
0, 1.64934e-311, 0
0, 1.62993e-311, 0
0, 1.61098e-311, 0
0, 1.59247e-311, 0
0, 1.57437e-311, 0
0, 1.55668e-311, 0
0, 1.53938e-311, 0
0, 1.52247e-311, 0
0, 1.50592e-311, 0
0, 1.48973e-311, 0
0, 1.47388e-311, 0
0, 1.45836e-311, 0
0, 1.44317e-311, 0
0, 1.42829e-311, 0
0, 1.41372e-311, 0
0, 1.39944e-311, 0
0, 1.38544e-311, 0
