           Iteration         Path Length         Temperature
               26600             505.757                50.1
               26700             489.458               49.95
               26800             503.287                49.8
               26900             523.135               49.65
               27000             510.771                49.5
               27100             587.208               49.35
               27200             537.034                49.2
               27300             547.633               49.05
               27400               495.7                48.9
               27500             446.084               48.75
               27600              447.54                48.6
               27700             519.186               48.45
               27800             521.329                48.3
               27900             576.906               48.15
               28000             472.698                  48
               28100             502.922               47.85
               28200             520.244                47.7
               28300             529.573               47.55
               28400             469.132                47.4
               28500             521.371               47.25
               28600             458.342                47.1
               28700             498.902               46.95
               28800             473.201                46.8
               28900             561.979               46.65
               29000              443.99                46.5
               29100             531.622               46.35
               29200             446.748                46.2
               29300             547.709               46.05
               29400             512.871                45.9
               29500             508.338               45.75
               29600             507.466                45.6
               29700             477.958               45.45
               29800             511.876                45.3
               29900             527.814               45.15
               30000             575.972                  45
               30100             526.232               44.85
               30200              414.87                44.7
               30300             545.886               44.55
               30400             520.061                44.4
               30500              503.73               44.25
               30600             540.195                44.1
               30700             487.798               43.95
               30800             476.005                43.8
               30900              483.61               43.65
               31000              515.73                43.5
               31100             425.002               43.35
               31200             477.634                43.2
               31300             518.135               43.05
               31400              516.79                42.9
               31500             508.555               42.75
               31600             488.435                42.6
               31700             543.918               42.45
               31800              516.17                42.3
               31900             501.394               42.15
               32000             450.354                  42
               32100             426.215               41.85
               32200             517.172                41.7
               32300             557.533               41.55
               32400             498.637                41.4
               32500             483.869               41.25
               32600             438.729                41.1
               32700             576.611               40.95
               32800             580.262                40.8
               32900             497.437               40.65
               33000             492.118                40.5
               33100             508.098               40.35
               33200             516.542                40.2
               33300             556.407               40.05
               33400             484.086                39.9
               33500             360.656               39.75
               33600             475.072                39.6
               33700             548.068               39.45
               33800             477.979                39.3
               33900             512.415               39.15
               34000             515.221                  39
               34100             447.824               38.85
               34200             526.333                38.7
               34300             495.713               38.55
               34400              562.38                38.4
               34500             462.369               38.25
               34600             462.466                38.1
               34700             484.032               37.95
               34800             423.039                37.8
               34900             463.313               37.65
               35000             434.997                37.5
               35100              525.93               37.35
               35200             449.063                37.2
               35300             528.483               37.05
               35400             435.008                36.9
               35500             463.539               36.75
               35600             485.714                36.6
