           Iteration         Path Length         Temperature
                   0             586.952                  90
                 100             579.776               89.85
                 200             496.773                89.7
                 300             479.748               89.55
                 400             512.058                89.4
                 500              524.68               89.25
                 600             506.568                89.1
                 700             415.693               88.95
                 800             517.537                88.8
                 900             552.197               88.65
                1000             492.126                88.5
                1100             525.594               88.35
                1200             508.817                88.2
                1300             498.256               88.05
                1400             473.655                87.9
                1500             595.117               87.75
                1600             518.023                87.6
                1700             565.212               87.45
                1800             534.538                87.3
                1900             523.225               87.15
                2000             510.233                  87
                2100             487.753               86.85
                2200             506.273                86.7
                2300             548.447               86.55
                2400             488.794                86.4
                2500              466.74               86.25
                2600             497.344                86.1
                2700             535.198               85.95
                2800             509.176                85.8
                2900             580.996               85.65
                3000             483.173                85.5
                3100             578.368               85.35
                3200             516.201                85.2
                3300             459.575               85.05
                3400             510.127                84.9
                3500             466.946               84.75
                3600             538.406                84.6
                3700             508.757               84.45
                3800             481.351                84.3
                3900             486.754               84.15
                4000             440.516                  84
                4100             535.882               83.85
                4200             498.998                83.7
                4300             418.057               83.55
                4400             423.334                83.4
                4500             533.995               83.25
                4600              448.06                83.1
                4700             515.545               82.95
                4800             507.463                82.8
                4900             552.661               82.65
                5000             539.817                82.5
                5100              529.85               82.35
                5200             471.526                82.2
                5300             500.274               82.05
                5400             459.019                81.9
                5500             468.881               81.75
                5600             526.167                81.6
                5700             530.123               81.45
                5800             511.426                81.3
                5900             491.863               81.15
                6000             501.438                  81
                6100             532.472               80.85
                6200             447.794                80.7
                6300             412.107               80.55
                6400             495.772                80.4
                6500             510.567               80.25
                6600             512.357                80.1
                6700             546.122               79.95
                6800             567.188                79.8
                6900             456.062               79.65
                7000             619.263                79.5
                7100             511.265               79.35
                7200             489.429                79.2
                7300             481.081               79.05
                7400             498.567                78.9
                7500              440.57               78.75
                7600             462.648                78.6
                7700             530.274               78.45
                7800             509.182                78.3
                7900             534.791               78.15
                8000              499.14                  78
                8100             507.108               77.85
                8200             525.247                77.7
                8300             561.241               77.55
                8400             541.397                77.4
                8500              552.47               77.25
                8600              545.47                77.1
