           Iteration         Path Length         Temperature
               26600              475.55                50.1
               26700             539.306               49.95
               26800             490.421                49.8
               26900             546.414               49.65
               27000             487.335                49.5
               27100             569.746               49.35
               27200             521.345                49.2
               27300             522.985               49.05
               27400             507.732                48.9
               27500             543.229               48.75
               27600             487.956                48.6
               27700             552.839               48.45
               27800             498.357                48.3
               27900             500.168               48.15
               28000             469.772                  48
               28100             476.783               47.85
               28200             536.383                47.7
               28300             483.643               47.55
               28400             487.983                47.4
               28500             454.925               47.25
               28600             520.622                47.1
               28700             565.145               46.95
               28800             479.871                46.8
               28900             538.696               46.65
               29000              523.45                46.5
               29100             535.879               46.35
               29200             535.499                46.2
               29300             433.396               46.05
               29400             528.165                45.9
               29500             473.247               45.75
               29600              458.95                45.6
               29700             497.676               45.45
               29800             485.862                45.3
               29900             443.514               45.15
               30000             554.177                  45
               30100             448.095               44.85
               30200             474.137                44.7
               30300             499.001               44.55
               30400             511.947                44.4
               30500             476.948               44.25
               30600             538.154                44.1
               30700             472.623               43.95
               30800             602.845                43.8
               30900             536.967               43.65
               31000             534.166                43.5
               31100             491.045               43.35
               31200             501.975                43.2
               31300             487.997               43.05
               31400             456.652                42.9
               31500             499.508               42.75
               31600             431.648                42.6
               31700             461.267               42.45
               31800             547.282                42.3
               31900             484.174               42.15
               32000             565.409                  42
               32100              541.64               41.85
               32200             490.258                41.7
               32300             514.667               41.55
               32400             632.581                41.4
               32500             407.312               41.25
               32600             548.414                41.1
               32700             442.346               40.95
               32800             479.361                40.8
               32900             500.429               40.65
               33000              496.34                40.5
               33100             441.303               40.35
               33200             539.701                40.2
               33300             445.594               40.05
               33400             576.798                39.9
               33500             479.797               39.75
               33600             479.855                39.6
               33700             475.559               39.45
               33800              521.71                39.3
               33900             499.693               39.15
               34000             497.079                  39
               34100             523.224               38.85
               34200              527.07                38.7
               34300             515.582               38.55
               34400              536.22                38.4
               34500             552.636               38.25
               34600             475.606                38.1
               34700             505.806               37.95
               34800             473.753                37.8
               34900             520.485               37.65
               35000             509.138                37.5
               35100             454.922               37.35
               35200             465.137                37.2
               35300             522.247               37.05
               35400             452.025                36.9
               35500             430.535               36.75
               35600             506.468                36.6
               35700             417.904               36.45
               35800             507.204                36.3
               35900             473.667               36.15
               36000              424.25                  36
               36100             464.482               35.85
               36200             443.236                35.7
               36300             539.853               35.55
               36400             497.866                35.4
               36500             386.037               35.25
               36600              411.56                35.1
               36700             520.587               34.95
