           Iteration         Path Length         Temperature
               25500             1030.56               51.75
               25600             1009.56                51.6
               25700             978.785               51.45
               25800             723.133                51.3
               25900             928.464               51.15
               26000             1055.38                  51
               26100             1062.58               50.85
               26200             985.122                50.7
               26300             952.482               50.55
               26400             949.065                50.4
               26500             919.303               50.25
               26600             909.856                50.1
               26700             728.219               49.95
               26800             892.106                49.8
               26900             1070.32               49.65
               27000             1079.38                49.5
               27100             910.724               49.35
               27200             1038.93                49.2
               27300             854.992               49.05
               27400             838.912                48.9
               27500             874.194               48.75
               27600               942.3                48.6
               27700             945.351               48.45
               27800              1137.8                48.3
               27900                1053               48.15
               28000             754.446                  48
               28100             863.814               47.85
               28200             988.405                47.7
               28300              1047.1               47.55
               28400             906.491                47.4
               28500             902.571               47.25
               28600             929.195                47.1
               28700             970.103               46.95
               28800             859.639                46.8
               28900             1000.34               46.65
               29000             799.481                46.5
               29100             915.912               46.35
               29200             903.193                46.2
               29300             778.821               46.05
               29400             809.235                45.9
               29500             947.272               45.75
               29600             1144.93                45.6
               29700             1029.33               45.45
               29800             808.446                45.3
               29900             921.518               45.15
               30000             921.884                  45
               30100              925.25               44.85
               30200             906.911                44.7
               30300                 968               44.55
               30400             903.478                44.4
               30500             952.048               44.25
               30600             745.457                44.1
               30700             900.874               43.95
               30800             953.747                43.8
               30900             884.424               43.65
               31000             830.926                43.5
               31100             1004.44               43.35
               31200             887.002                43.2
               31300             979.647               43.05
               31400             797.291                42.9
               31500             951.569               42.75
               31600             954.404                42.6
               31700             968.732               42.45
               31800             926.059                42.3
               31900             925.806               42.15
               32000             798.942                  42
               32100             1097.27               41.85
               32200             1083.35                41.7
               32300             866.889               41.55
               32400             994.479                41.4
               32500              778.81               41.25
               32600             811.223                41.1
               32700             806.014               40.95
               32800             845.891                40.8
               32900             670.929               40.65
               33000              783.36                40.5
               33100             1076.57               40.35
               33200             894.785                40.2
               33300             1055.46               40.05
               33400             957.148                39.9
               33500             808.939               39.75
               33600              918.11                39.6
               33700             905.094               39.45
               33800             1112.93                39.3
               33900             886.518               39.15
               34000             856.023                  39
               34100             776.353               38.85
               34200             879.583                38.7
               34300              884.45               38.55
               34400             1040.12                38.4
               34500             902.274               38.25
               34600             813.518                38.1
               34700             826.846               37.95
               34800             845.717                37.8
               34900             896.244               37.65
               35000             1005.95                37.5
               35100             1001.21               37.35
               35200             996.392                37.2
               35300             876.859               37.05
               35400             929.075                36.9
               35500             1057.34               36.75
               35600             964.011                36.6
               35700             762.628               36.45
               35800             842.499                36.3
               35900             777.757               36.15
               36000             847.074                  36
               36100             890.898               35.85
               36200              997.36                35.7
               36300             810.493               35.55
               36400             1044.27                35.4
               36500             970.644               35.25
               36600             794.723                35.1
               36700              692.82               34.95
               36800             744.791                34.8
               36900             816.791               34.65
               37000             832.239                34.5
               37100             948.756               34.35
               37200             837.528                34.2
               37300             730.837               34.05
               37400             645.396                33.9
               37500             800.575               33.75
               37600             956.306                33.6
               37700              851.91               33.45
               37800             807.742                33.3
               37900              819.01               33.15
               38000             789.335                  33
               38100             921.094               32.85
               38200             750.386                32.7
               38300             862.738               32.55
               38400             651.183                32.4
               38500             794.587               32.25
               38600             880.467                32.1
               38700             964.534               31.95
               38800             749.034                31.8
               38900             861.499               31.65
               39000             944.624                31.5
               39100             688.694               31.35
               39200             938.408                31.2
               39300             710.949               31.05
               39400             554.431                30.9
               39500             717.797               30.75
               39600             786.386                30.6
               39700              905.53               30.45
               39800             837.056                30.3
               39900             676.036               30.15
               40000             782.013                  30
               40100             675.119               29.85
               40200             719.252                29.7
               40300             949.605               29.55
               40400             742.973                29.4
               40500             1030.42               29.25
               40600             772.082                29.1
               40700             628.492               28.95
               40800             663.769                28.8
               40900             647.504               28.65
               41000             613.865                28.5
               41100              802.48               28.35
               41200             757.592                28.2
               41300             810.112               28.05
               41400             709.351                27.9
               41500              816.56               27.75
               41600             870.299                27.6
               41700             876.258               27.45
               41800             1100.29                27.3
               41900             748.297               27.15
               42000             788.328                  27
               42100             1014.26               26.85
               42200             780.539                26.7
               42300             784.552               26.55
               42400              667.89                26.4
               42500             737.568               26.25
               42600             825.382                26.1
               42700             806.335               25.95
               42800             682.735                25.8
               42900             811.691               25.65
               43000              870.13                25.5
               43100             641.724               25.35
               43200             738.062                25.2
               43300             917.815               25.05
               43400             921.476                24.9
               43500             779.653               24.75
               43600              869.26                24.6
               43700             797.582               24.45
               43800             598.989                24.3
               43900             690.253               24.15
               44000             591.892                  24
               44100             715.422               23.85
               44200             677.028                23.7
               44300             679.747               23.55
               44400             749.773                23.4
               44500             654.414               23.25
               44600             670.685                23.1
               44700             553.219               22.95
               44800             599.751                22.8
               44900             648.551               22.65
               45000              885.21                22.5
               45100             747.628               22.35
               45200             607.264                22.2
               45300             646.559               22.05
               45400             606.636                21.9
               45500             656.648               21.75
               45600             661.723                21.6
               45700             853.514               21.45
               45800             840.509                21.3
               45900             632.517               21.15
               46000             701.419                  21
               46100              636.36               20.85
               46200             767.167                20.7
               46300             686.289               20.55
               46400             844.294                20.4
               46500             724.594               20.25
               46600             612.712                20.1
               46700             551.838               19.95
               46800             648.995                19.8
               46900             545.648               19.65
               47000             646.498                19.5
               47100             681.124               19.35
               47200             636.207                19.2
               47300             647.649               19.05
               47400             522.457                18.9
               47500             700.148               18.75
               47600             530.338                18.6
               47700             502.252               18.45
               47800             649.529                18.3
               47900             584.108               18.15
               48000             580.293                  18
               48100             665.383               17.85
               48200             664.546                17.7
               48300             604.715               17.55
               48400              548.78                17.4
               48500             604.409               17.25
