           Iteration         Path Length         Temperature
                   0             1276.47                  90
                 100             1074.61               89.85
                 200             871.669                89.7
                 300             999.302               89.55
                 400             1140.32                89.4
                 500             938.989               89.25
                 600             1086.31                89.1
                 700             1051.81               88.95
                 800             1033.82                88.8
                 900             1159.51               88.65
                1000             840.278                88.5
                1100             1050.27               88.35
                1200             1079.27                88.2
                1300             927.929               88.05
                1400             900.388                87.9
                1500             1154.39               87.75
                1600             1172.35                87.6
                1700             1077.66               87.45
                1800             801.227                87.3
                1900             956.411               87.15
                2000             966.658                  87
                2100             980.499               86.85
                2200             1036.27                86.7
                2300             1106.95               86.55
                2400             1092.93                86.4
                2500             971.379               86.25
                2600             945.006                86.1
                2700             1053.67               85.95
                2800             1011.62                85.8
                2900              1223.9               85.65
                3000             1059.85                85.5
                3100             1046.31               85.35
                3200             993.803                85.2
                3300             1173.01               85.05
                3400             1130.61                84.9
                3500             1144.55               84.75
                3600             1109.31                84.6
                3700              1092.7               84.45
                3800              1015.5                84.3
                3900              979.78               84.15
                4000             934.805                  84
                4100              1050.2               83.85
                4200             1035.51                83.7
                4300             1064.74               83.55
                4400             1005.48                83.4
                4500             1027.35               83.25
                4600             973.524                83.1
                4700             1074.65               82.95
                4800             1198.85                82.8
                4900             929.871               82.65
                5000             1021.61                82.5
                5100             1154.47               82.35
                5200             941.383                82.2
                5300             1194.92               82.05
                5400             1146.59                81.9
                5500             1156.73               81.75
                5600              1128.6                81.6
                5700             933.825               81.45
                5800             935.694                81.3
                5900             998.951               81.15
                6000             1082.08                  81
                6100             934.499               80.85
                6200             1030.31                80.7
                6300             827.925               80.55
                6400             867.148                80.4
                6500             1090.76               80.25
                6600             1091.24                80.1
                6700             1168.09               79.95
                6800             1047.78                79.8
                6900             1039.84               79.65
                7000             1022.66                79.5
                7100             1007.19               79.35
                7200             948.804                79.2
                7300             1155.34               79.05
                7400             986.792                78.9
                7500             957.532               78.75
                7600             973.272                78.6
                7700             934.663               78.45
                7800             1034.88                78.3
                7900             834.647               78.15
                8000             1241.37                  78
                8100             826.468               77.85
                8200             1020.74                77.7
                8300             904.363               77.55
                8400             1127.63                77.4
                8500              1104.7               77.25
                8600             1107.24                77.1
                8700             1088.74               76.95
                8800             1177.91                76.8
                8900             899.584               76.65
                9000             1146.72                76.5
                9100             1180.52               76.35
                9200             963.888                76.2
                9300             1012.67               76.05
                9400             1051.61                75.9
                9500              1005.4               75.75
                9600             821.409                75.6
                9700             1137.66               75.45
                9800             900.181                75.3
                9900             1004.77               75.15
               10000              911.39                  75
               10100             974.039               74.85
               10200             1182.38                74.7
               10300             1174.41               74.55
               10400              832.89                74.4
               10500             905.867               74.25
               10600             1073.13                74.1
               10700             854.822               73.95
               10800             1115.46                73.8
               10900               923.7               73.65
               11000             910.192                73.5
               11100              1066.9               73.35
               11200             1078.46                73.2
               11300             954.844               73.05
               11400             1027.05                72.9
               11500             1077.49               72.75
               11600             781.112                72.6
               11700             1070.96               72.45
               11800             903.431                72.3
               11900             956.026               72.15
               12000             968.733                  72
               12100             1020.82               71.85
               12200             943.111                71.7
               12300              916.77               71.55
               12400             993.888                71.4
               12500              1026.1               71.25
               12600             1024.64                71.1
               12700             1064.84               70.95
               12800              1272.8                70.8
               12900             856.689               70.65
               13000             1046.03                70.5
               13100             1091.86               70.35
               13200             987.747                70.2
               13300             1000.04               70.05
               13400             1145.15                69.9
               13500             1003.26               69.75
               13600             970.208                69.6
               13700             1041.78               69.45
               13800             949.965                69.3
               13900             1199.61               69.15
               14000             1088.53                  69
               14100             1043.77               68.85
               14200             917.992                68.7
               14300             1109.25               68.55
               14400             899.836                68.4
               14500             981.485               68.25
               14600             1248.54                68.1
               14700             1127.02               67.95
               14800             1176.47                67.8
               14900             1098.33               67.65
               15000             958.712                67.5
               15100             822.188               67.35
               15200             1030.85                67.2
               15300             858.743               67.05
               15400             892.062                66.9
               15500              845.24               66.75
               15600             1224.98                66.6
               15700             1115.41               66.45
               15800             872.332                66.3
               15900              844.08               66.15
               16000             961.363                  66
               16100             950.605               65.85
               16200             1069.61                65.7
               16300             999.214               65.55
               16400             1029.76                65.4
               16500              916.53               65.25
               16600             971.237                65.1
               16700             999.867               64.95
               16800             1113.27                64.8
               16900             829.329               64.65
               17000             965.895                64.5
               17100             998.267               64.35
               17200              957.94                64.2
               17300             1042.15               64.05
               17400             887.044                63.9
               17500             1110.83               63.75
               17600             969.337                63.6
               17700             1014.85               63.45
               17800             969.971                63.3
               17900             1044.73               63.15
               18000             858.705                  63
               18100             1090.08               62.85
               18200             1042.93                62.7
               18300             837.393               62.55
               18400             1014.59                62.4
               18500                1027               62.25
               18600             902.497                62.1
               18700             986.219               61.95
               18800             901.518                61.8
               18900             1011.76               61.65
               19000             1006.19                61.5
               19100             806.245               61.35
               19200             821.836                61.2
               19300             1039.08               61.05
               19400             900.563                60.9
               19500              1004.8               60.75
               19600             887.981                60.6
               19700             1028.47               60.45
               19800             905.991                60.3
               19900             987.085               60.15
               20000             938.201                  60
               20100             811.205               59.85
               20200             1023.78                59.7
               20300             1013.19               59.55
               20400             923.419                59.4
               20500             1025.75               59.25
               20600             909.597                59.1
               20700             1018.73               58.95
