           Iteration         Path Length         Temperature
               25500             1052.16               51.75
               25600             762.468                51.6
               25700             1004.31               51.45
               25800             1015.63                51.3
               25900             916.385               51.15
               26000             841.827                  51
               26100             844.895               50.85
               26200             964.292                50.7
               26300             930.576               50.55
               26400              970.42                50.4
               26500             996.329               50.25
               26600             896.867                50.1
               26700             897.233               49.95
               26800             977.919                49.8
               26900             936.967               49.65
               27000             866.064                49.5
               27100             930.728               49.35
               27200             907.386                49.2
               27300             747.681               49.05
               27400              972.18                48.9
               27500             1079.69               48.75
               27600             996.688                48.6
               27700              949.11               48.45
               27800             839.904                48.3
               27900             807.275               48.15
               28000             982.444                  48
               28100             766.113               47.85
               28200             975.993                47.7
               28300              954.94               47.55
               28400             1192.88                47.4
               28500             913.249               47.25
               28600             1120.29                47.1
               28700             1014.85               46.95
               28800             929.704                46.8
               28900              790.65               46.65
               29000             868.582                46.5
               29100             1026.31               46.35
               29200             819.505                46.2
               29300             738.693               46.05
               29400             768.196                45.9
               29500             883.708               45.75
               29600             1141.64                45.6
               29700             860.308               45.45
               29800             1045.79                45.3
               29900              1070.7               45.15
               30000             809.564                  45
               30100             1080.35               44.85
               30200             842.114                44.7
               30300             998.798               44.55
               30400             972.277                44.4
               30500             1105.16               44.25
               30600             872.882                44.1
               30700             951.369               43.95
               30800             862.651                43.8
               30900             1031.57               43.65
               31000             1080.41                43.5
               31100             880.549               43.35
               31200             931.244                43.2
               31300             746.634               43.05
               31400             747.571                42.9
               31500             1003.88               42.75
               31600             910.167                42.6
               31700             593.349               42.45
               31800             993.528                42.3
               31900             756.282               42.15
               32000             949.175                  42
               32100             882.936               41.85
               32200             845.731                41.7
               32300             1002.44               41.55
               32400             917.069                41.4
               32500             967.686               41.25
               32600              1016.4                41.1
               32700             960.697               40.95
               32800             911.363                40.8
               32900             835.133               40.65
               33000             961.766                40.5
               33100             872.107               40.35
               33200             925.071                40.2
               33300             924.235               40.05
               33400             889.917                39.9
               33500             900.969               39.75
               33600             900.897                39.6
               33700             1083.19               39.45
               33800             1019.33                39.3
               33900             758.513               39.15
               34000             663.877                  39
               34100             1038.59               38.85
               34200             813.465                38.7
               34300              831.32               38.55
               34400             770.411                38.4
               34500             777.768               38.25
               34600             976.517                38.1
               34700             917.957               37.95
               34800             1063.48                37.8
               34900             770.071               37.65
               35000             998.246                37.5
               35100             929.386               37.35
               35200             992.885                37.2
               35300             995.361               37.05
               35400             912.157                36.9
               35500             820.215               36.75
               35600              819.95                36.6
               35700             872.814               36.45
               35800             872.197                36.3
               35900             882.495               36.15
               36000             894.188                  36
               36100             774.465               35.85
               36200              762.57                35.7
               36300             779.207               35.55
               36400             886.754                35.4
               36500             791.201               35.25
               36600             973.307                35.1
               36700             820.488               34.95
               36800             763.332                34.8
               36900             942.243               34.65
               37000             864.656                34.5
               37100             962.386               34.35
               37200             692.641                34.2
               37300             920.957               34.05
               37400             789.384                33.9
               37500             878.377               33.75
               37600             858.146                33.6
               37700             855.343               33.45
               37800             907.189                33.3
               37900             737.847               33.15
               38000             914.544                  33
               38100             627.574               32.85
               38200             931.668                32.7
               38300              882.44               32.55
               38400             924.766                32.4
               38500             678.357               32.25
               38600             910.111                32.1
               38700             801.511               31.95
               38800             771.519                31.8
               38900             713.883               31.65
               39000             864.617                31.5
               39100             851.852               31.35
               39200             963.681                31.2
               39300             774.807               31.05
               39400             822.327                30.9
               39500              852.96               30.75
               39600             780.288                30.6
               39700             726.737               30.45
               39800             745.113                30.3
               39900             794.336               30.15
               40000             975.203                  30
               40100             627.141               29.85
               40200             754.778                29.7
               40300             784.187               29.55
               40400             743.259                29.4
               40500             672.298               29.25
               40600             848.535                29.1
               40700             794.483               28.95
               40800             926.856                28.8
               40900             644.689               28.65
               41000             675.492                28.5
               41100             761.832               28.35
               41200             812.968                28.2
               41300             704.085               28.05
               41400             633.281                27.9
               41500             827.656               27.75
               41600              829.18                27.6
               41700             965.732               27.45
               41800             749.437                27.3
               41900             1025.31               27.15
               42000              820.81                  27
               42100             767.651               26.85
               42200             698.534                26.7
               42300             768.423               26.55
               42400             720.263                26.4
               42500             799.835               26.25
               42600             799.236                26.1
               42700             802.109               25.95
               42800             856.659                25.8
               42900             748.312               25.65
               43000              852.72                25.5
               43100             768.931               25.35
               43200             741.894                25.2
               43300             823.079               25.05
               43400             834.964                24.9
               43500             702.823               24.75
               43600             732.643                24.6
               43700             746.412               24.45
               43800              736.42                24.3
               43900             653.984               24.15
               44000             688.742                  24
               44100              564.16               23.85
               44200             576.408                23.7
               44300             552.469               23.55
               44400             714.066                23.4
               44500             762.528               23.25
               44600             674.194                23.1
               44700             663.708               22.95
               44800             661.641                22.8
               44900             800.353               22.65
               45000             787.624                22.5
               45100             744.668               22.35
               45200             651.903                22.2
               45300             609.662               22.05
               45400             816.069                21.9
               45500             801.756               21.75
               45600             751.758                21.6
